Date,US,Brazil,India,Russia,Mexico
4/9/20,22003,950,226,76,194
4/10/20,24217,1057,246,94,233
4/11/20,26320,1124,288,106,273
4/12/20,28203,1223,331,130,296
4/13/20,30204,1328,358,148,332
4/14/20,32685,1532,393,170,406
4/15/20,35309,1736,405,198,449
4/16/20,37496,1924,448,232,486
4/17/20,39600,2141,486,273,546
4/18/20,41543,2354,521,313,650
4/19/20,43510,2462,559,361,686
4/20/20,45795,2587,592,405,712
4/21/20,48246,2741,645,456,857
4/22/20,50712,2906,681,513,970
4/23/20,53138,3331,721,555,1069
4/24/20,55201,3704,780,615,1221
4/25/20,56940,4057,825,681,1305
4/26/20,58354,4286,881,747,1351
4/27/20,59840,4603,939,794,1434
4/28/20,62074,5083,1008,867,1569
4/29/20,64448,5513,1079,972,1732
4/30/20,66638,6006,1154,1073,1859
5/1/20,68518,6412,1223,1169,1972
5/2/20,70291,6761,1323,1222,2061
5/3/20,71492,7051,1391,1280,2154
5/4/20,72862,7367,1566,1356,2271
5/5/20,75041,7938,1693,1451,2507
5/6/20,77359,8588,1785,1537,2704
5/7/20,79262,9190,1889,1625,2961
5/8/20,81033,10017,1985,1723,3160
5/9/20,82504,10656,2101,1827,3353
5/10/20,83505,11123,2212,1915,3465
5/11/20,84531,11653,2294,2009,3573
5/12/20,86119,12461,2415,2116,3926
5/13/20,87814,13240,2551,2212,4220
5/14/20,89581,13999,2649,2305,4477
5/15/20,91205,14962,2753,2418,4767
5/16/20,92374,15662,2871,2537,5045
5/17/20,93191,16118,3025,2631,5177
5/18/20,94413,16853,3156,2722,5332
